Intersection,Hourly_Average,Time,Eastbound,Westbound,Northbound,Southbound,Total
32 Avenue East of 192 Street,Monday-Friday,12:00 AM,29,17,,,46
32 Avenue East of 192 Street,Monday-Friday,1:00 AM,22,8,,,30
32 Avenue East of 192 Street,Monday-Friday,2:00 AM,11,11,,,22
32 Avenue East of 192 Street,Monday-Friday,3:00 AM,8,21,,,29
32 Avenue East of 192 Street,Monday-Friday,4:00 AM,11,79,,,90
32 Avenue East of 192 Street,Monday-Friday,5:00 AM,30,323,,,353
32 Avenue East of 192 Street,Monday-Friday,6:00 AM,97,466,,,563
32 Avenue East of 192 Street,Monday-Friday,7:00 AM,197,490,,,687
32 Avenue East of 192 Street,Monday-Friday,8:00 AM,224,389,,,613
32 Avenue East of 192 Street,Monday-Friday,9:00 AM,196,251,,,447
32 Avenue East of 192 Street,Monday-Friday,10:00 AM,203,223,,,426
32 Avenue East of 192 Street,Monday-Friday,11:00 AM,243,228,,,471
32 Avenue East of 192 Street,Monday-Friday,12:00 PM,255,238,,,493
32 Avenue East of 192 Street,Monday-Friday,1:00 PM,277,245,,,522
32 Avenue East of 192 Street,Monday-Friday,2:00 PM,376,255,,,631
32 Avenue East of 192 Street,Monday-Friday,3:00 PM,504,278,,,782
32 Avenue East of 192 Street,Monday-Friday,4:00 PM,547,274,,,821
32 Avenue East of 192 Street,Monday-Friday,5:00 PM,424,213,,,637
32 Avenue East of 192 Street,Monday-Friday,6:00 PM,258,150,,,408
32 Avenue East of 192 Street,Monday-Friday,7:00 PM,157,106,,,263
32 Avenue East of 192 Street,Monday-Friday,8:00 PM,126,85,,,211
32 Avenue East of 192 Street,Monday-Friday,9:00 PM,114,70,,,184
32 Avenue East of 192 Street,Monday-Friday,10:00 PM,83,48,,,131
32 Avenue East of 192 Street,Monday-Friday,11:00 PM,60,33,,,93
72 Avenue West of 123 Street,Monday-Friday,12:00 AM,166,72,,,238
72 Avenue West of 123 Street,Monday-Friday,1:00 AM,90,54,,,144
72 Avenue West of 123 Street,Monday-Friday,2:00 AM,69,64,,,133
72 Avenue West of 123 Street,Monday-Friday,3:00 AM,72,115,,,187
72 Avenue West of 123 Street,Monday-Friday,4:00 AM,95,345,,,440
72 Avenue West of 123 Street,Monday-Friday,5:00 AM,197,546,,,743
72 Avenue West of 123 Street,Monday-Friday,6:00 AM,356,511,,,867
72 Avenue West of 123 Street,Monday-Friday,7:00 AM,534,600,,,1134
72 Avenue West of 123 Street,Monday-Friday,8:00 AM,575,674,,,1249
72 Avenue West of 123 Street,Monday-Friday,9:00 AM,586,702,,,1288
72 Avenue West of 123 Street,Monday-Friday,10:00 AM,653,727,,,1380
72 Avenue West of 123 Street,Monday-Friday,11:00 AM,802,836,,,1638
72 Avenue West of 123 Street,Monday-Friday,12:00 PM,900,892,,,1792
72 Avenue West of 123 Street,Monday-Friday,1:00 PM,953,908,,,1861
72 Avenue West of 123 Street,Monday-Friday,2:00 PM,1022,939,,,1961
72 Avenue West of 123 Street,Monday-Friday,3:00 PM,1052,985,,,2037
72 Avenue West of 123 Street,Monday-Friday,4:00 PM,1038,954,,,1992
72 Avenue West of 123 Street,Monday-Friday,5:00 PM,1018,835,,,1853
72 Avenue West of 123 Street,Monday-Friday,6:00 PM,841,717,,,1558
72 Avenue West of 123 Street,Monday-Friday,7:00 PM,649,554,,,1203
72 Avenue West of 123 Street,Monday-Friday,8:00 PM,538,435,,,973
72 Avenue West of 123 Street,Monday-Friday,9:00 PM,478,375,,,853
72 Avenue West of 123 Street,Monday-Friday,10:00 PM,322,215,,,537
72 Avenue West of 123 Street,Monday-Friday,11:00 PM,253,108,,,361
96 Avenue East of 130 Street,Monday-Friday,12:00 AM,114,104,,,218
96 Avenue East of 130 Street,Monday-Friday,1:00 AM,68,66,,,134
96 Avenue East of 130 Street,Monday-Friday,2:00 AM,49,48,,,97
96 Avenue East of 130 Street,Monday-Friday,3:00 AM,41,48,,,89
96 Avenue East of 130 Street,Monday-Friday,4:00 AM,77,100,,,177
96 Avenue East of 130 Street,Monday-Friday,5:00 AM,172,331,,,503
96 Avenue East of 130 Street,Monday-Friday,6:00 AM,499,464,,,963
96 Avenue East of 130 Street,Monday-Friday,7:00 AM,724,666,,,1390
96 Avenue East of 130 Street,Monday-Friday,8:00 AM,802,775,,,1577
96 Avenue East of 130 Street,Monday-Friday,9:00 AM,590,602,,,1192
96 Avenue East of 130 Street,Monday-Friday,10:00 AM,576,558,,,1134
96 Avenue East of 130 Street,Monday-Friday,11:00 AM,671,678,,,1349
96 Avenue East of 130 Street,Monday-Friday,12:00 PM,723,722,,,1445
96 Avenue East of 130 Street,Monday-Friday,1:00 PM,750,729,,,1479
96 Avenue East of 130 Street,Monday-Friday,2:00 PM,879,866,,,1745
96 Avenue East of 130 Street,Monday-Friday,3:00 PM,1015,999,,,2014
96 Avenue East of 130 Street,Monday-Friday,4:00 PM,1028,1054,,,2082
96 Avenue East of 130 Street,Monday-Friday,5:00 PM,896,930,,,1826
96 Avenue East of 130 Street,Monday-Friday,6:00 PM,790,724,,,1514
96 Avenue East of 130 Street,Monday-Friday,7:00 PM,571,585,,,1156
96 Avenue East of 130 Street,Monday-Friday,8:00 PM,409,451,,,860
96 Avenue East of 130 Street,Monday-Friday,9:00 PM,358,393,,,751
96 Avenue East of 130 Street,Monday-Friday,10:00 PM,273,279,,,552
96 Avenue East of 130 Street,Monday-Friday,11:00 PM,181,200,,,381
104 Avenue East of 157 Street,Monday-Friday,12:00 AM,86,76,,,162
104 Avenue East of 157 Street,Monday-Friday,1:00 AM,54,51,,,105
104 Avenue East of 157 Street,Monday-Friday,2:00 AM,38,34,,,72
104 Avenue East of 157 Street,Monday-Friday,3:00 AM,39,36,,,75
104 Avenue East of 157 Street,Monday-Friday,4:00 AM,78,67,,,145
104 Avenue East of 157 Street,Monday-Friday,5:00 AM,261,192,,,453
104 Avenue East of 157 Street,Monday-Friday,6:00 AM,442,343,,,785
104 Avenue East of 157 Street,Monday-Friday,7:00 AM,629,677,,,1306
104 Avenue East of 157 Street,Monday-Friday,8:00 AM,564,846,,,1410
104 Avenue East of 157 Street,Monday-Friday,9:00 AM,462,562,,,1024
104 Avenue East of 157 Street,Monday-Friday,10:00 AM,494,515,,,1009
104 Avenue East of 157 Street,Monday-Friday,11:00 AM,554,524,,,1078
104 Avenue East of 157 Street,Monday-Friday,12:00 PM,626,567,,,1193
104 Avenue East of 157 Street,Monday-Friday,1:00 PM,715,543,,,1258
104 Avenue East of 157 Street,Monday-Friday,2:00 PM,874,632,,,1506
104 Avenue East of 157 Street,Monday-Friday,3:00 PM,953,795,,,1748
104 Avenue East of 157 Street,Monday-Friday,4:00 PM,1083,779,,,1862
104 Avenue East of 157 Street,Monday-Friday,5:00 PM,1015,695,,,1710
104 Avenue East of 157 Street,Monday-Friday,6:00 PM,712,520,,,1232
104 Avenue East of 157 Street,Monday-Friday,7:00 PM,487,342,,,829
104 Avenue East of 157 Street,Monday-Friday,8:00 PM,426,278,,,704
104 Avenue East of 157 Street,Monday-Friday,9:00 PM,390,256,,,646
104 Avenue East of 157 Street,Monday-Friday,10:00 PM,250,190,,,440
104 Avenue East of 157 Street,Monday-Friday,11:00 PM,155,140,,,295
152 Street South of 24 Avenue,Monday-Friday,12:00 AM,,,44,50,94
152 Street South of 24 Avenue,Monday-Friday,1:00 AM,,,29,36,65
152 Street South of 24 Avenue,Monday-Friday,2:00 AM,,,23,23,46
152 Street South of 24 Avenue,Monday-Friday,3:00 AM,,,23,18,41
152 Street South of 24 Avenue,Monday-Friday,4:00 AM,,,43,23,66
152 Street South of 24 Avenue,Monday-Friday,5:00 AM,,,149,76,225
152 Street South of 24 Avenue,Monday-Friday,6:00 AM,,,332,193,525
152 Street South of 24 Avenue,Monday-Friday,7:00 AM,,,515,418,933
152 Street South of 24 Avenue,Monday-Friday,8:00 AM,,,686,856,1542
152 Street South of 24 Avenue,Monday-Friday,9:00 AM,,,646,796,1442
152 Street South of 24 Avenue,Monday-Friday,10:00 AM,,,758,781,1539
152 Street South of 24 Avenue,Monday-Friday,11:00 AM,,,824,839,1663
152 Street South of 24 Avenue,Monday-Friday,12:00 PM,,,861,869,1730
152 Street South of 24 Avenue,Monday-Friday,1:00 PM,,,863,906,1769
152 Street South of 24 Avenue,Monday-Friday,2:00 PM,,,927,1003,1930
152 Street South of 24 Avenue,Monday-Friday,3:00 PM,,,971,1091,2062
152 Street South of 24 Avenue,Monday-Friday,4:00 PM,,,869,1050,1919
152 Street South of 24 Avenue,Monday-Friday,5:00 PM,,,796,934,1730
152 Street South of 24 Avenue,Monday-Friday,6:00 PM,,,643,728,1371
152 Street South of 24 Avenue,Monday-Friday,7:00 PM,,,466,508,974
152 Street South of 24 Avenue,Monday-Friday,8:00 PM,,,381,342,723
152 Street South of 24 Avenue,Monday-Friday,9:00 PM,,,306,282,588
152 Street South of 24 Avenue,Monday-Friday,10:00 PM,,,180,202,382
152 Street South of 24 Avenue,Monday-Friday,11:00 PM,,,113,113,226
152 Street South of 70 Avenue,Monday-Friday,12:00 AM,,,87,81,168
152 Street South of 70 Avenue,Monday-Friday,1:00 AM,,,47,45,92
152 Street South of 70 Avenue,Monday-Friday,2:00 AM,,,27,34,61
152 Street South of 70 Avenue,Monday-Friday,3:00 AM,,,32,37,69
152 Street South of 70 Avenue,Monday-Friday,4:00 AM,,,52,71,123
152 Street South of 70 Avenue,Monday-Friday,5:00 AM,,,170,230,400
152 Street South of 70 Avenue,Monday-Friday,6:00 AM,,,439,607,1046
152 Street South of 70 Avenue,Monday-Friday,7:00 AM,,,807,903,1710
152 Street South of 70 Avenue,Monday-Friday,8:00 AM,,,919,1037,1956
152 Street South of 70 Avenue,Monday-Friday,9:00 AM,,,657,774,1431
152 Street South of 70 Avenue,Monday-Friday,10:00 AM,,,621,685,1306
152 Street South of 70 Avenue,Monday-Friday,11:00 AM,,,686,733,1419
